ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24077,JB361048,07/23/2018 12:01:00 AM,003XX E 130TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,0533,005,9,54,01A,1180742,1819194,2018,07/30/2018 03:52:24 PM,41.659116447,-87.614265792,"(41.659116447, -87.614265792)"
24074,JB358768,07/23/2018 12:12:00 AM,011XX N CENTRAL PARK AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,true,1112,011,27,23,01A,1152169,1907245,2018,07/30/2018 03:52:24 PM,41.901348592,-87.71651188,"(41.901348592, -87.71651188)"
24078,JB359724,07/22/2018 08:28:00 PM,031XX W FULTON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,false,false,1222,012,27,27,01A,1155483,1901838,2018,07/29/2018 03:54:54 PM,41.886445247,-87.704484736,"(41.886445247, -87.704484736)"
24076,JB360092,07/22/2018 07:55:00 AM,055XX S WELLS ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0711,007,3,68,01A,1175549,1868107,2018,07/29/2018 03:54:54 PM,41.793457578,-87.631809658,"(41.793457578, -87.631809658)"
24075,JB360092,07/22/2018 06:03:00 AM,055XX S WELLS ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0711,007,3,68,01A,1175549,1868107,2018,07/29/2018 03:54:54 PM,41.793457578,-87.631809658,"(41.793457578, -87.631809658)"
24080,JB358424,07/21/2018 02:30:00 PM,031XX N KEDZIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1411,014,33,21,01A,1154472,1921041,2018,07/28/2018 03:48:35 PM,41.939160207,-87.707682987,"(41.939160207, -87.707682987)"
24073,JB359729,07/21/2018 10:21:00 PM,013XX S AVERS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1011,010,24,29,01A,1150924,1893534,2018,07/28/2018 03:48:35 PM,41.863748604,-87.721444,"(41.863748604, -87.721444)"
24072,JB359724,07/21/2018 11:33:00 PM,031XX W FULTON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,false,false,1222,012,27,27,01A,1155497,1901838,2018,07/28/2018 03:48:35 PM,41.886444966,-87.704433324,"(41.886444966, -87.704433324)"
24071,JB359746,07/21/2018 11:31:00 PM,002XX W 106TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0512,005,34,49,01A,1176557,1834650,2018,07/28/2018 03:48:35 PM,41.701624878,-87.629117507,"(41.701624878, -87.629117507)"
24070,JB357390,07/20/2018 09:02:00 AM,061XX S SANGAMON ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0712,007,16,68,01A,1171027,1864141,2018,07/27/2018 03:56:39 PM,41.782674487,-87.648507229,"(41.782674487, -87.648507229)"
24069,JB357255,07/20/2018 07:20:00 AM,007XX E 42ND ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0214,002,4,38,01A,1181958,1877315,2018,07/27/2018 03:56:39 PM,41.818579158,-87.608023685,"(41.818579158, -87.608023685)"
24079,JB215729,04/08/2018 07:53:00 AM,030XX N KNOX AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,2521,025,31,19,01A,1144832,1919919,2018,07/27/2018 03:53:27 PM,41.936268932,-87.743141292,"(41.936268932, -87.743141292)"
24068,JB357065,07/19/2018 11:40:00 PM,081XX S LAFLIN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0614,006,21,71,01A,1167754,1850662,2018,07/26/2018 03:51:12 PM,41.745757239,-87.66089335,"(41.745757239, -87.66089335)"
